COMPID	CHEMNAME	CHEMPATH
57372	N-behenoyl-sphingadienine (d18:2/22:0)*	Sphingolipid Metabolism
37202	androstenediol (3beta,17beta) disulfate (1)	Steroid
5969	17-alpha-hydroxyprogesterone	Steroid
38637	cinnamoylglycine	Food Component/Plant
47112	etiocholanolone glucuronide	Steroid
36751	N2-acetyllysine	Lysine Metabolism
1600	phosphoethanolamine	Phospholipid Metabolism
38662	cotinine N-oxide	Tobacco Metabolite
32379	scyllo-inositol	Inositol Metabolism
57461	argininate*	Urea cycle; Arginine and Proline Metabolism
1594	N-carbamoylaspartate	Pyrimidine Metabolism, Orotate containing
1561	alpha-tocopherol	Tocopherol Metabolism
512	asparagine	Alanine and Aspartate Metabolism
54885	1-linoleoyl-GPG (18:2)*	Lysophospholipid
32462	N-linoleoylglycine	Fatty Acid Metabolism(Acyl Glycine)
33970	cis-vaccenate (18:1n7)	Long Chain Fatty Acid
18392	theobromine	Xanthine Metabolism
46960	sulfate*	Chemical
46798	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	Diacylglycerol
40481	dihydroferulic acid	Food Component/Plant
36095	thymol sulfate	Food Component/Plant
37114	N6-methyladenosine	Purine Metabolism, Adenine containing
35675	2-hydroxypalmitate	Fatty Acid, Monohydroxy
54963	linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*	Diacylglycerol
513	creatinine	Creatine Metabolism
15778	benzoate	Benzoate Metabolism
1126	alanine	Alanine and Aspartate Metabolism
33967	N-acetylisoleucine	Leucine, Isoleucine and Valine Metabolism
19503	stearoyl sphingomyelin (d18:1/18:0)	Sphingolipid Metabolism
20675	1,5-anhydroglucitol (1,5-AG)	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism
32405	indolepropionate	Tryptophan Metabolism
33969	stearidonate (18:4n3)	Polyunsaturated Fatty Acid (n3 and n6)
32412	butyrylcarnitine (C4)	Fatty Acid Metabolism (also BCAA Metabolism)
52983	glycochenodeoxycholate glucuronide (1)	Primary Bile Acid Metabolism
34400	1,7-dimethylurate	Xanthine Metabolism
52677	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	Plasmalogen
47135	11-ketoetiocholanolone glucuronide	Steroid
34402	indolebutyrate	Tryptophan Metabolism
1573	guanosine	Purine Metabolism, Guanine containing
52462	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Phosphatidylcholine (PC)
52461	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Phosphatidylcholine (PC)
1417	kynurenate	Tryptophan Metabolism
33487	glutamate, gamma-methyl ester	Glutamate Metabolism
21188	1-stearoylglycerol (18:0)	Monoacylglycerol
52713	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	Plasmalogen
45721	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Drug
33945	phenylacetylglycine	Acetylated Peptides
38661	hydroxycotinine	Tobacco Metabolite
1124	myo-inositol	Inositol Metabolism
20876	isosorbide	Drug
33173	2-hydroxyacetaminophen sulfate*	Drug
34387	N-acetylproline	Urea cycle; Arginine and Proline Metabolism
1496	methylmalonate (MMA)	Fatty Acid Metabolism (also BCAA Metabolism)
44876	gamma-CEHC	Tocopherol Metabolism
2734	gamma-glutamyltyrosine	Gamma-glutamyl Amino Acid
12083	ribose	Pentose Metabolism
32562	pregnen-diol disulfate*	Steroid
2730	gamma-glutamylglutamine	Gamma-glutamyl Amino Acid
57554	2'-O-methylcytidine	Pyrimidine Metabolism, Cytidine containing
19130	1,2-dipalmitoyl-GPC (16:0/16:0)	Phosphatidylcholine (PC)
37183	5alpha-androstan-3alpha,17alpha-diol monosulfate	Steroid
12017	3-methoxytyrosine	Tyrosine Metabolism
